CLSID,ExplorerCommand,Name,NameSource,CustomIcon
{00020D75-0000-0000-C000-000000000046},"explorer shell:::{00020D75-0000-0000-C000-000000000046}","{00020D75-0000-0000-C000-000000000046}",Unknown,None
{00021400-0000-0000-C000-000000000046},"explorer shell:::{00021400-0000-0000-C000-000000000046}","Desktop",Default Value,None
{025A5937-A6BE-4686-A844-36FE4BEC8B6D},"explorer shell:::{025A5937-A6BE-4686-A844-36FE4BEC8B6D}","Power Options",Default Value,"C:\WINDOWS\System32\powercpl.dll,-1"
{031E4825-7B94-4dc3-B131-E946B44C8DD5},"explorer shell:::{031E4825-7B94-4dc3-B131-E946B44C8DD5}","UsersLibraries",Default Value,"C:\WINDOWS\system32\imageres.dll,-1023"
{04731B67-D933-450a-90E6-4ACD2E9408FE},"explorer shell:::{04731B67-D933-450a-90E6-4ACD2E9408FE}","CLSID_SearchFolder",Default Value,"C:\WINDOWS\system32\Windows.Storage.Search.dll,-323"
{05d7b0f4-2121-4eff-bf6b-ed3f69b894d9},"explorer shell:::{05d7b0f4-2121-4eff-bf6b-ed3f69b894d9}","Taskbar",Default Value,"C:\WINDOWS\System32\taskbarcpl.dll,-1"
{0875DCB6-C686-4243-9432-ADCCF0B9F2D7},"explorer shell:::{0875DCB6-C686-4243-9432-ADCCF0B9F2D7}","Microsoft OneNote Namespace Extension for Windows Desktop Search",Default Value,None
{088e3905-0323-4b02-9826-5d99428e115f},"explorer shell:::{088e3905-0323-4b02-9826-5d99428e115f}","Local Downloads",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-184"
{0AFACED1-E828-11D1-9187-B532F1E9575D},"explorer shell:::{0AFACED1-E828-11D1-9187-B532F1E9575D}","Folder Shortcut",Default Value,None
{0C1FD748-B888-443D-9EC3-AD7E22D48808},"explorer shell:::{0C1FD748-B888-443D-9EC3-AD7E22D48808}","ArchiveFolder",Default Value,"C:\WINDOWS\system32\zipfldr.dll"
{0c39a5cf-1a7a-40c8-ba74-8900e6df5fcd},"explorer shell:::{0c39a5cf-1a7a-40c8-ba74-8900e6df5fcd}","{0c39a5cf-1a7a-40c8-ba74-8900e6df5fcd}",Unknown,"C:\WINDOWS\system32\imageres.dll,-117"
{0CD7A5C0-9F37-11CE-AE65-08002B2E1262},"explorer shell:::{0CD7A5C0-9F37-11CE-AE65-08002B2E1262}","Cabinet Shell Folder",Default Value,None
{0DB7E03F-FC29-4DC6-9020-FF41B59E513A},"explorer shell:::{0DB7E03F-FC29-4DC6-9020-FF41B59E513A}","3D Objects",Known Folder ID,"C:\WINDOWS\system32\imageres.dll,-198"
