Protocol,Full URL,Encoding Used,Embedded Variables, Found in File
"insiderhub","insiderhub://(.+)\?Source","Unicode","True","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://alerts","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://announcements","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://participation","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://quest","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"insiderhub","insiderhub://quest/","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.dll"
"ms-clock","ms-clock://CreateAlarm?version=1","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.195.0_x64__8wekyb3d8bbwe\Time.exe"
"ms-clock","ms-clock://CreateTimer?version=1","Unicode","False","C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.195.0_x64__8wekyb3d8bbwe\Time.exe"
"ms-cxh","ms-cxh://frx/inclusive","UTF-8","False","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\js\core.js"
"ms-cxh","ms-cxh://LOCALONLY","UTF-8","False","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\js\errorHandler.js"
"ms-cxh","ms-cxh://MOSET/CONNECTTOWORK","UTF-8","False","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\js\appManager.js"
"ms-cxh","ms-cxh://mosetMDMconnecttowork/","UTF-8","False","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\js\appManager.js"
"ms-gamebar","ms-gamebar://createCoreWindow","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"ms-gamebar","ms-gamebar://launch/activate","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"ms-gamebar","ms-gamebar://launch/activateMinimized","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"ms-gamebar","ms-gamebar://launchforeground/activate/GalleryWidget","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"ms-gamebar","ms-gamebar://launchforeground/activate/SettingsWidget?categoryId=capturing","Unicode","False","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe"
"msgamepass","msgamepass://details?id=9PLKVSWR299F","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"msgamepass","msgamepass://details?id=9PMQDM08SNK9","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msgamepass","msgamepass://details?id=9WZDNCRFHWD2","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msgamepass","msgamepass://gallery?id=f13cf6b4-57e6-4459-89df-6aec18cf0538","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.map"
"msgamingapp","msgamingapp://gamepass/upsell","UTF-8","False","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\Bundle\sourcemaps\index.bundle.packager.map"
"ms-get-started","ms-get-started://story/?id=first-run","Unicode","False","C:\Program Files\WindowsApps\Microsoft.Getstarted_10.2312.1.0_x64__8wekyb3d8bbwe\WhatsNew.Store.dll"
"ms-media-player","ms-media-player://play?source={0}&kind={1:d}&position={2}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.ZuneMusic_11.2408.4.0_x64__8wekyb3d8bbwe\Microsoft.Media.Player.dll"
"msnnews","msnnews://application/view?EntityType={0}&ContentID={1}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Microsoft.Msn.News.dll"
"msnnews","msnnews://application/view?entitytype={entitytype}&{fieldname}={id}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://freindianeditions","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://fresaveforlater","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://whatsnew/GenericEditions","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://whatsnew/HidePublisher","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnnews","msnnews://whatsnew/HUCZEditions","Unicode","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"msnweather","msnweather://application/view?entitytype={entitytype}&{fieldname}={id}","Unicode","True","C:\Program Files\WindowsApps\Microsoft.BingWeather_4.53.62621.0_x64__8wekyb3d8bbwe\Configuration\configuration.sqlite"
"ms-search","ms-search://LaunchSetting","Unicode","False","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchUx.UI.dll"
"ms-search","ms-search://Search","Unicode","False","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchUx.UI.dll"
"ms-search","ms-search://Search/?q=","Unicode","True","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CommandExecutor.dll"
"ms-search","ms-search://Search/?q=apps:","Unicode","True","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CommandExecutor.dll"
