Setting Name,Full Setting Command
"about","ms-settings:about"
"accounts","ms-settings:accounts"
"activation","ms-settings:activation"
"advanced-apps","ms-settings:advanced-apps"
"appsfeatures","ms-settings:appsfeatures"
"appsfeatures-app","ms-settings:appsfeatures-app"
"appsforwebsites","ms-settings:appsforwebsites"
"apps-volume","ms-settings:apps-volume"
"assignedaccess","ms-settings:assignedaccess"
"audio-outputdevices","ms-settings:audio-outputdevices"
"autoplay","ms-settings:autoplay"
"backup","ms-settings:backup"
"batterysaver","ms-settings:batterysaver"
"batterysaver-settings","ms-settings:batterysaver-settings"
"batterysaver-usagedetails","ms-settings:batterysaver-usagedetails"
"bluetooth","ms-settings:bluetooth"
"camera","ms-settings:camera"
"clipboard","ms-settings:clipboard"
"colors","ms-settings:colors"
"connecteddevices","ms-settings:connecteddevices"
"cortana-windowssearch","ms-settings:cortana-windowssearch"
"crossdevice","ms-settings:crossdevice"
"datausage","ms-settings:datausage"
"dateandtime","ms-settings:dateandtime"
"defaultapps","ms-settings:defaultapps"
"defaultbrowsersettings","ms-settings:defaultbrowsersettings"
"delivery-optimization","ms-settings:delivery-optimization"
"delivery-optimization-activity","ms-settings:delivery-optimization-activity"
"delivery-optimization-advanced","ms-settings:delivery-optimization-advanced"
"developers","ms-settings:developers"
"deviceencryption","ms-settings:deviceencryption"
"devices","ms-settings:devices"
"devices-touch","ms-settings:devices-touch"
"devices-touchpad","ms-settings:devices-touchpad"
"devicestyping-hwkbtextsuggestions","ms-settings:devicestyping-hwkbtextsuggestions"
"deviceusage","ms-settings:deviceusage"
"disksandvolumes","ms-settings:disksandvolumes"
"display","ms-settings:display"
"display-advanced","ms-settings:display-advanced"
"display-advancedgraphics","ms-settings:display-advancedgraphics"
"display-advancedgraphics-default","ms-settings:display-advancedgraphics-default"
"easeofaccess","ms-settings:easeofaccess"
"easeofaccess-audio","ms-settings:easeofaccess-audio"
"easeofaccess-closedcaptioning","ms-settings:easeofaccess-closedcaptioning"
"easeofaccess-colorfilter","ms-settings:easeofaccess-colorfilter"
"easeofaccess-colorfilter-adaptivecolorlink","ms-settings:easeofaccess-colorfilter-adaptivecolorlink"
"easeofaccess-colorfilter-bluelightlink","ms-settings:easeofaccess-colorfilter-bluelightlink"
"easeofaccess-cursor","ms-settings:easeofaccess-cursor"
"easeofaccess-display","ms-settings:easeofaccess-display"
"easeofaccess-eyecontrol","ms-settings:easeofaccess-eyecontrol"
"easeofaccess-highcontrast","ms-settings:easeofaccess-highcontrast"
"easeofaccess-keyboard","ms-settings:easeofaccess-keyboard"
"easeofaccess-magnifier","ms-settings:easeofaccess-magnifier"
