XMLTaskId,ApplicationId,ApplicationName,Name,Page,Command,Keywords
"{06628900-13DD-4fc3-A18B-0E9CE7B663ED}","{7B81BE6A-CE2B-4676-A29E-EB907A5126C5}","Microsoft.ProgramsAndFeatures","16비트 응용 프로그램 지원","","%windir%\system32\rundll32.exe shell32.dll,Control_RunDLL ntvdmcpl.dll","애플릿;응용 프로그램;애플리케이션;앱스;파일;프로그램;플그램;소프트;소프트웨어;소프크웨어;소프트 웨어;윈도우;윈도우;applets;applications;apps;aps;files;programmes;programs;softare;softwares;sofware;sotfware;windos;windows;응용 프로그램;앱스;애플리케이션;앱;applications;apps;application;app;응용 프로그램 호환;호환 프로그램;호환;호환성;호환되는;계속;사용하다;apcompat;appcompat;compatable;compatibility;compatible;still;use;비트;16비트;레거시;이전;에뮬레이션;16;bit;16-bit;legacy;old;dos;win31;emulation;ntvdm"
"{886EDAFC-1051-483F-8AE2-904087A7E580}","{D9EF8727-CAC2-4E60-809E-86F80A666C91}","Microsoft.BitLockerDriveEncryption","BitLocker 관리","","control.exe /name Microsoft.BitLockerDriveEncryption","컴퓨터;머신;내 컴퓨터;개인용;시스템;compuer;machine;my;computer;pc;personal;system;디스켓;디스크;드라이브;disc;disks;drive;락커;비트락커;암호;암호 해독;인코드;암호화;장치 암호화;locker;bitlocker;cryptology;decrypt;encode;encryption;device encryption;디스크;드라이브;하드디스크;하드-디스크;하드드라이브;하드-드라이브;disk;drive;harddisk;hard-disk;harddrive;hard-drive;가드;보호;안전;유지;guard;protect;secure;preserve;제한;안전;보안;보안 유지;안전한;사이트;신뢰하는;신뢰할 수 있는;restricted;safety;secure;securing;security;sites;trusted;trusting;디바이스;장치;장비;설비;devices;divises;divicse;divices"
"{1515BA81-68EB-4143-A29F-51A40A65DAE6}","{A8A91A66-3A7D-4424-8D24-04E180695C7A}","Microsoft.DevicesAndPrinters","Bluetooth 설정 변경","","%windir%\system32\rundll32.exe shell32.dll,Control_RunDLL bthprops.cpl,,1","투스;블루투스;tooth;bluetooth;blutooth;조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;디바이스;장치;장비;설비;devices;divises;divicse;divices;무선;와이어리스;802.1x;wireless;wire-less"
"{0D2EC3D1-4305-4153-92D1-7E56311B2C00}","{A8A91A66-3A7D-4424-8D24-04E180695C7A}","Microsoft.DevicesAndPrinters","Bluetooth 장치 추가","","%windir%\system32\DevicePairingWizard.exe /bluetooth","투스;블루투스;tooth;bluetooth;blutooth;디바이스;장치;장비;설비;devices;divises;divicse;divices;무선;와이어리스;802.1x;wireless;wire-less;쌍;쌍;연결;연결;추가;추가;연결;연결;설정;재생;재생;pair;pairs;associate;associates;add;adds;connects;connect;setup;playto;play;추가;기능;설치된;설치하기;인스톨;add;new;installed;installing"
"{E6243488-3449-4D4D-98AA-FFC14E3FF0F8}","{9C60DE1E-E5FC-40F4-A487-460851A8D915}","Microsoft.AutoPlay","CD 또는 기타 미디어 자동 재생","","control.exe /name Microsoft.AutoPlay","자동화된;자동적;automated;automatically;재생;실행;시작;자동 실행;자동-실행;자동실행;자동-실행;자동시작;자동-시작;플레이;play;run;start;autoplay;auto-play;autorun;auto-run;autostart;auto-start;디스켓;디스크;드라이브;disc;disks;drive;오디오;빈;레이;블루레이;블루-레이;향상된;미디어;수퍼;비디오;audio;blank;ray;blue-ray;blu-ray;cd-rom;cds;dvd;enhanced;HD;media;super;video"
"{3F0AD6DB-3246-48E4-ACD7-696FF62AE68D}","{C555438B-3C23-4769-A71F-B6D3D9B6053A}","","ClearType 텍스트 조정","","%windir%\system32\cttune.exe","글꼴;글모양;타입;트루타입;타입;오픈타입;끌꼴;폰트;faunt;fonts;type;truetype;type;opentype;fount;도트;퍼;인치;픽셀;높음;dots;per;inch;dpi;pixels;high;픽셀;해상도;해상도;해상도;해상도;해상도;크기;사이즈;pixels;reslution;resoltion;resolution;resolutoin;rezolution;size;마법사;마밥사;wizard;wizzard;사용자 개인 설정;개인화하기;personalize;personalization;타입;튜닝;튜너;설정값;대비;감마;텍스트;앤티앨리어싱;앤티-별칭;필터링;흐림;퍼지;type;cleartype;tuning;tuner;settings;contrast;gamma;text;aliasing;anti-aliasing;filtering;blurry;fuzzy;서체;읽는;가독성;더 쉬운;쉬운;글꼴;명확도;색;색상;사용;조정;서체;텍스트;크기;읽을 수 있는;독해도;typography;reading;readability;easier;to;easy;font;clarity;color;colour;enable;cleartype;tweak;typeface;text;size;ppi;legible;legibility"
"{9389633E-8BCB-4448-93CD-EBFFA0759257}","{A3DD4F92-658A-410F-84FD-6FBBBEF2FFFE}","Microsoft.InternetOptions","Internet Explorer에서 자동 완성 켜기/끄기","","%windir%\system32\rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,3","자동 완성;전체;완료;마침;자동 끝내기;채우기;자동채우기;autocomplete;complete;completion;finish;autofinish;fill;autofill;활성화;추가;시작;사용;설치;호출;하기;설정;설정하기;셋업;시작;켬;잠금 해제;세팅;셋팅;activate;add;begin;enable;intsall;invoke;make;up;setting;setup;start;on;turnon;unlock;취소;비활성화;삭제;삭제하기;비활성화;비허용;끝내기;제거하기;종료;방지;제거;제거하기;종료;끄기;중지;끄기;끔;cancel;deactivates;delete;deleting;disable;disallow;exit;get;rid;of;prevent;remove;removing;shut;down;off;stop;turn;turnoff"
"{A73DCDB5-E233-4FC2-8083-6E431939002A}","{A3DD4F92-658A-410F-84FD-6FBBBEF2FFFE}","Microsoft.InternetOptions","Internet Explorer의 서비스 공급자 변경","","%windir%\system32\rundll32.exe shell32.dll,Control_RunDLL inetcpl.cpl,,0","조정;조절;바꿈;변경;편집;수정;바꾸기;다시 설정;설정;전환;스위치;adjust;ajust;alter;change;edit;modify;replace;reset;set;switch;기본;기본설정;기본;표준;by;defaults;defualt;standard;공급자;엔진;검색;provider;engine;searching"
"{944A41B9-C0FD-41AE-A6DF-5AC4FE5A59B4}","{D20EA4E1-3957-11D2-A40B-0C5020524153}","Microsoft.AdministrativeTools","iSCSI 초기자 설정","","%windir%\system32\iscsicpl.exe","활성화;추가;시작;사용;설치;호출;하기;설정;설정하기;셋업;시작;켬;잠금 해제;세팅;셋팅;activate;add;begin;enable;intsall;invoke;make;up;setting;setup;start;on;turnon;unlock;디바이스;장치;장비;설비;devices;divises;divicse;divices;iscsi;scsi;저장소;storage"
"{3b6b0a88-6fe6-4850-9d84-0950e4841e0b}","{BF782CC9-5A52-4A17-806C-2A894FFEEAC5}","Microsoft.Language","Microsoft ChangJie 설정","","%windir%\system32\ime\imetc\imtcprop.exe /CJ","설정;msime;ime;settings;changjie"
