Protocol,Name,Command,Package Name,Package AppName,Package App Description,IsMicrosoft
"bingmaps://","","C:\Program Files\WindowsApps\Microsoft.WindowsMaps_1.0.62.0_x64__8wekyb3d8bbwe\Maps.exe","Microsoft.WindowsMaps","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"bingnews://","bingnews","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Microsoft.Msn.News.exe","Microsoft.BingNews","ms-resource:ApplicationTitleWithTagline","ms-resource:ApplicationTitleWithBrandingWithNewName",True
"bingweather://","bingweather","C:\Program Files\WindowsApps\Microsoft.BingWeather_4.53.62621.0_x64__8wekyb3d8bbwe\Microsoft.Msn.Weather.exe","Microsoft.BingWeather","ms-resource:ApplicationTitleShort","ms-resource:ApplicationDescription",True
"calculator://","calculator","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2405.2.0_x64__8wekyb3d8bbwe\CalculatorApp.exe","Microsoft.WindowsCalculator","ms-resource:AppName","ms-resource:AppDescription",True
"feedback-hub://","feedback-hub","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.exe","Microsoft.WindowsFeedbackHub","ms-resource:AppStoreName","ms-resource:AppDescription",True
"insiderhub://","insiderhub","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.exe","Microsoft.WindowsFeedbackHub","ms-resource:AppStoreName","ms-resource:AppDescription",True
"mailto://","mailto","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.22054.0_x64__8wekyb3d8bbwe\HxOutlook.exe C:\Program Files\WindowsApps\microsoft.outlookforwindows_1.2024.911.200_x64__8wekyb3d8bbwe\olk.exe","microsoft.windowscommunicationsapps Microsoft.OutlookForWindows","ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_MailDesktop_DisplayName Outlook (new)","ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_MailDesktop_Description Microsoft Outlook",True True
"microsoft.windows.camera://","microsoft.windows.camera","C:\Program Files\WindowsApps\Microsoft.WindowsCamera_2024.2408.1.0_x64__8wekyb3d8bbwe\WindowsCamera.exe","Microsoft.WindowsCamera","ms-resource:LensSDK/Resources/AppTitle","ms-resource:LensSDK/Resources/AppTitle",True
"microsoft.windows.camera.multipicker://","microsoft.windows.camera.multipicker","C:\Program Files\WindowsApps\Microsoft.WindowsCamera_2024.2408.1.0_x64__8wekyb3d8bbwe\WindowsCamera.exe","Microsoft.WindowsCamera","ms-resource:LensSDK/Resources/AppTitle","ms-resource:LensSDK/Resources/AppTitle",True
"microsoft.windows.camera.picker://","microsoft.windows.camera.picker","C:\Program Files\WindowsApps\Microsoft.WindowsCamera_2024.2408.1.0_x64__8wekyb3d8bbwe\WindowsCamera.exe","Microsoft.WindowsCamera","ms-resource:LensSDK/Resources/AppTitle","ms-resource:LensSDK/Resources/AppTitle",True
